Article No.,EAN4003773-,Applications,Capacity in square millimetresmm²,AWG,Number of crimping positions,Length (mm),Weight (g),,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
Stripping capacity for cross-sections,"0,75 - 1,5 + 2,5 mm²",,,,,,,,,,,,,
Capacity in square millimetres,"0,5 - 2,5 mm²",,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,280 g,,,,,,,,,,,,,
No.,70 06 160,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Pliers,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Style,0,,,,,,,,,,,,,
Head,,,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,"4,0 Ø mm",,,,,,,,,,,,,
,"3,0 Ø mm",,,,,,,,,,,,,
,"2,0 Ø mm",,,,,,,,,,,,,
Nominal size,160 mm,,,,,,,,,,,,,
,160 mm,,,,,,,,,,,,,
,216 g,,,,,,,,,,,,,
No.,70 06 180,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Pliers,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Style,0,,,,,,,,,,,,,
Head,,,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,"4,0 Ø mm",,,,,,,,,,,,,
,"3,0 Ø mm",,,,,,,,,,,,,
,"2,5 Ø mm",,,,,,,,,,,,,
,180 mm,,,,,,,,,,,,,
,254 g,,,,,,,,,,,,,
No.,95 16 165,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,165 mm,,,,,,,,,,,,,
,262 g,,,,,,,,,,,,,
No.,95 16 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,chrome plated,,,,,,,,,,,,,
Handles,"insulated with multi-component grips, VDE-tested",,,,,,,,,,,,,
Insulation standard,IEC 60900 DIN EN 60900,,,,,,,,,,,,,
,20 Ø mm,,,,,,,,,,,,,
,70 mm²,,,,,,,,,,,,,
AWG,Feb-00,,,,,,,,,,,,,
Nominal size,200 mm,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,340 g,,,,,,,,,,,,,
No.,95 11 165,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,burnished,,,,,,,,,,,,,
Handles,plastic coated,,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,165 mm,,,,,,,,,,,,,
,215 g,,,,,,,,,,,,,
No.,95 12 165,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,burnished,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
Style,1,,,,,,,,,,,,,
,15 Ø mm,,,,,,,,,,,,,
,50 mm²,,,,,,,,,,,,,
AWG,Jan-00,,,,,,,,,,,,,
,165 mm,,,,,,,,,,,,,
,250 g,,,,,,,,,,,,,
No.,95 12 200,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,burnished,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
,20 Ø mm,,,,,,,,,,,,,
,70 mm²,,,,,,,,,,,,,
AWG,Feb-00,,,,,,,,,,,,,
,200 mm,,,,,,,,,,,,,
,324 g,,,,,,,,,,,,,
No.,95 31 250,,,,,,,,,,,,,
EAN,4.00E+12,,,,,,,,,,,,,
Tool,black lacquered,,,,,,,,,,,,,
Handles,with multi-component grips,,,,,,,,,,,,,
,32 Ø mm,,,,,,,,,,,,,
,240 mm²,,,,,,,,,,,,,
MCM,500,,,,,,,,,,,,,
,250 mm,,,,,,,,,,,,,
,676 g,,,,,,,,,,,,,
